DATE,SHIFT,ROUTE,TOTAL
22,OUT 4PM,Alabang,120
22,OUT 4PM,Binan,0
22,OUT 4PM,Carmona,0
22,OUT 4PM,Balibago,13
22,OUT 4PM,Tagapo,28
22,OUT 4PM,Cabuyao,10
22,OUT 4PM,Calamba,52
22,OUT 6PM,Alabang,175
22,OUT 6PM,Binan,0
22,OUT 6PM,Carmona,0
22,OUT 6PM,Balibago,7
22,OUT 6PM,Tagapo,38
22,OUT 6PM,Cabuyao,17
22,OUT 6PM,Calamba,139
22,IN 7PM,Alabang,271
22,IN 7PM,Binan,0
22,IN 7PM,Carmona,0
22,IN 7PM,Balibago,19
22,IN 7PM,Tagapo,46
22,IN 7PM,Cabuyao,26
22,IN 7PM,Calamba,176
22,OUT 7PM,Alabang,354
22,OUT 7PM,Binan,0
22,OUT 7PM,Carmona,0
22,OUT 7PM,Balibago,0
22,OUT 7PM,Tagapo,0
22,OUT 7PM,Cabuyao,0
22,OUT 7PM,Calamba,0
22,IN 10PM,Alabang,0
22,IN 10PM,Binan,0
22,IN 10PM,Carmona,0
22,IN 10PM,Balibago,36
22,IN 10PM,Tagapo,135
22,IN 10PM,Cabuyao,66
22,IN 10PM,Calamba,464
23,OUT 4AM,Alabang,0
23,OUT 4AM,Binan,0
23,OUT 4AM,Carmona,0
23,OUT 4AM,Balibago,29
23,OUT 4AM,Tagapo,97
23,OUT 4AM,Cabuyao,49
23,OUT 4AM,Calamba,325
23,IN 7AM,Alabang,702
23,IN 7AM,Binan,0
23,IN 7AM,Carmona,0
23,IN 7AM,Balibago,7
23,IN 7AM,Tagapo,38
23,IN 7AM,Cabuyao,17
23,IN 7AM,Calamba,139
23,OUT 7AM,Alabang,271
23,OUT 7AM,Binan,0
23,OUT 7AM,Carmona,0
23,OUT 7AM,Balibago,12
23,OUT 7AM,Tagapo,56
23,OUT 7AM,Cabuyao,20
23,OUT 7AM,Calamba,156
23,OUT 4PM,Alabang,360
23,OUT 4PM,Binan,0
23,OUT 4PM,Carmona,0
23,OUT 4PM,Balibago,0
23,OUT 4PM,Tagapo,0
23,OUT 4PM,Cabuyao,0
23,OUT 4PM,Calamba,0
23,OUT 6PM,Alabang,0
23,OUT 6PM,Binan,0
23,OUT 6PM,Carmona,0
23,OUT 6PM,Balibago,12
23,OUT 6PM,Tagapo,29
